id,steel_class,section,en,it,es,page,n,circumference_in,length_fathom,real_diameter_mm,source_table,rigging_key,bounty_application,note,tonnage_min,tonnage_max
1,110-100 guns,BOWSPRIT,Bowspirit - Woolding,Bompresso - Legatura,,1,,3.5,190,28.3,001-ShipOf110-100Guns.jpg,Woolding,,,2164,2290
2,110-100 guns,BOWSPRIT,Bowspirit - Gammonings,Bompresso - Legature,,1,2,8,160,64.68,001-ShipOf110-100Guns.jpg,Gammonings,,,2164,2290
3,110-100 guns,BOWSPRIT,Bowspirit - Shrouds fine,Bompresso - Sartie fini,,1,2,8,39,64.68,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
4,110-100 guns,BOWSPRIT,Bowspirit - Shrouds - Collars fine,Bompresso - Sartie - Collari fini,,1,4,6.5,12,52.55,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
5,110-100 guns,BOWSPRIT,Bowspirit - Shrouds - Seizings,Bompresso - Sartie - Legature,,1,4,1,16,8.09,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
6,110-100 guns,BOWSPRIT,Bowspirit - Shrouds - Lashings,Bompresso - Sartie - Legature di fissaggio,,1,4,2,12,16.17,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
7,110-100 guns,BOWSPRIT,Bowspirit - Shrouds - Lanyards fine,Bompresso - Sartie - Corridori fini,,1,4,3.5,20,28.3,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290
8,110-100 guns,BOWSPRIT,Bowspirit - Bobstays cabled fine,Bompresso - Briglie in cavo fini,,1,3,8,38,64.68,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290
9,110-100 guns,BOWSPRIT,Bowspirit - Bobstays - Collars fine,Bompresso - Briglie - Collari fini,,1,3,8.5,9,68.72,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290
10,110-100 guns,BOWSPRIT,Bowspirit - Bobstays - Seizings,Bompresso - Briglie - Legature,,1,3,1.5,30,12.13,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290
11,110-100 guns,BOWSPRIT,Bowspirit - Bobstays - Lashings,Bompresso - Briglie - Legature di fissaggio,,1,3,2,9,16.17,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290
12,110-100 guns,BOWSPRIT,Bowspirit - Bobstays - Lanyards fine,Bompresso - Briglie - Corridori fini,,1,3,4,18,32.34,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290
13,110-100 guns,BOWSPRIT,Bowspirit - Horses,Bompresso - Marciapiedi,,1,2,5,22,40.43,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290
14,110-100 guns,BOWSPRIT,Bowspirit - Horses - Straps,Bompresso - Marciapiedi - Stroppi,,1,2,3.5,3.5,28.3,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290
15,110-100 guns,BOWSPRIT,Bowspirit - Horses - Lanyards,Bompresso - Marciapiedi - Corridori,,1,2,2,8,16.17,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290
16,110-100 guns,SPRITSAIL,Spritsail - Horses,Civada - Marciapiedi,,1,2,4,13,32.34,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290
17,110-100 guns,SPRITSAIL,Spritsail - Horses - Stirrups,Civada - Marciapiedi - Staffe,,1,6,3,6,24.26,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290
18,110-100 guns,SPRITSAIL,Spritsail - Braces,Civada - Bracci,,1,2,3.5,75,28.3,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290
19,110-100 guns,SPRITSAIL,Spritsail - Braces - Pendants,Civada - Bracci - Pendenti,,1,2,4,5,32.34,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290
20,110-100 guns,SPRITSAIL,Spritsail - Braces - Strapping,Civada - Bracci - Stroppatura,,1,,3.5,10,28.3,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290
21,110-100 guns,SPRITSAIL,Spritsail - Lifts,Civada - Amantigli,,1,2,3.5,58,28.3,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
22,110-100 guns,SPRITSAIL,Spritsail - Lifts - Beckets,Civada - Amantigli - Gasse,,1,2,3.5,4,28.3,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
23,110-100 guns,SPRITSAIL,Spritsail - Lifts - Strapping,Civada - Amantigli - Stroppatura,,1,,3.5,4,28.3,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
24,110-100 guns,SPRITSAIL,Spritsail - Lifts - Seizing,Civada - Amantigli - Legatura,,1,,1.5,9,12.13,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
25,110-100 guns,SPRITSAIL,Spritsail - Lifts - Standing,Civada - Amantigli - fisso,,1,2,4.5,10,36.38,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
26,110-100 guns,SPRITSAIL,Spritsail - Lifts - Straps,Civada - Amantigli - Stroppi,,1,2,4.5,4,36.38,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
27,110-100 guns,SPRITSAIL,Spritsail - Lifts - Lanyards,Civada - Amantigli - Corridori,,1,2,2,6,16.17,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290
28,110-100 guns,SPRITSAIL,Spritsail - Halliard,Civada - Drizza,,1,,3.5,40,28.3,001-ShipOf110-100Guns.jpg,Halliard,,,2164,2290
29,110-100 guns,SPRITSAIL,Spritsail - Halliard - Strapping,Civada - Drizza - Stroppatura,,1,,4.5,3,36.38,001-ShipOf110-100Guns.jpg,Halliard,,,2164,2290
30,110-100 guns,SPRITSAIL,Spritsail - Halliard - Seizing and Lashing,Civada - Drizza - Legatura e fissaggio,,1,,1,6,8.09,001-ShipOf110-100Guns.jpg,Halliard,,,2164,2290
31,110-100 guns,SPRITSAIL,Spritsail - Slings,Civada - Stroppi,,1,1,6.5,6,52.55,001-ShipOf110-100Guns.jpg,Slings,,,2164,2290
32,110-100 guns,SPRITSAIL,Spritsail - Slings - Seizing and Racking,Civada - Stroppi - Legatura e legatura incrociata,,1,,1.5,10,12.13,001-ShipOf110-100Guns.jpg,Slings,,,2164,2290
33,110-100 guns,SPRITSAIL,Spritsail - Clew-Lines,Civada - Imbrogli,,1,2,2.5,45,20.21,001-ShipOf110-100Guns.jpg,Clew-Lines,,,2164,2290
34,110-100 guns,SPRITSAIL,Spritsail - Clew-Lines - Strapping,Civada - Imbrogli - Stroppatura,,1,,3,6,24.26,001-ShipOf110-100Guns.jpg,Clew-Lines,,,2164,2290
35,110-100 guns,SPRITSAIL,Spritsail - Buntlines,Civada - Caricaboline,,1,2,2,34,16.17,001-ShipOf110-100Guns.jpg,Buntlines,,,2164,2290
36,110-100 guns,SPRITSAIL,Spritsail - Buntlines - Strapping,Civada - Caricaboline - Stroppatura,,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Buntlines,,,2164,2290
37,110-100 guns,SPRITSAIL,Spritsail - Earrings,Civada - Legature d’angolo,,1,4,1.5,12,12.13,001-ShipOf110-100Guns.jpg,Earrings,,,2164,2290
38,110-100 guns,SPRITSAIL,Spritsail - Sheets cabled single,Civada - Scotte in cavo singolo,,1,2,5,40,40.43,001-ShipOf110-100Guns.jpg,Sheets,,,2164,2290
39,110-100 guns,JIBB,Jibb - Horses,Fiocco - Marciapiedi,,1,1,4,20,32.34,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290
40,110-100 guns,JIBB,Jibb - Horses - Seizings,Fiocco - Marciapiedi - Legature,,1,2,1,0.5,8.09,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290
41,110-100 guns,JIBB,Jibb - Guy Pendants,Fiocco - Pendenti dei venti,,1,1,4.5,34,36.38,001-ShipOf110-100Guns.jpg,Guy Pendants,,,2164,2290
42,110-100 guns,JIBB,Jibb - Guy Pendants - Falls,Fiocco - Pendenti dei venti - Correnti,,1,2,3,36,24.26,001-ShipOf110-100Guns.jpg,Guy Pendants,,,2164,2290
43,110-100 guns,JIBB,Jibb - Guy Pendants - Strapping,Fiocco - Pendenti dei venti - Stroppatura,,1,,4,1.5,32.34,001-ShipOf110-100Guns.jpg,Guy Pendants,,,2164,2290
44,110-100 guns,JIBB,Jibb - Guy Pendants - Lathers,Fiocco - Pendenti dei venti - legature,,1,4,3,2,24.26,001-ShipOf110-100Guns.jpg,Guy Pendants,,,2164,2290
45,110-100 guns,JIBB,Jibb - Out-Hauler,Fiocco - Caricafuori,,1,,4,12,32.34,001-ShipOf110-100Guns.jpg,Out-Hauler,,,2164,2290
46,110-100 guns,JIBB,Jibb - Out-Hauler - Tackle-Fall,Fiocco - Caricafuori - Corrente del paranco,,1,,3.5,30,28.3,001-ShipOf110-100Guns.jpg,Out-Hauler,,,2164,2290
47,110-100 guns,JIBB,Jibb - Out-Hauler - Strapping,Fiocco - Caricafuori - Stroppatura,,1,,2.5,1,20.21,001-ShipOf110-100Guns.jpg,Out-Hauler,,,2164,2290
48,110-100 guns,JIBB,Jibb - Stay,Fiocco - Straglio,,1,,4.5,33,36.38,001-ShipOf110-100Guns.jpg,Stay,,,2164,2290
49,110-100 guns,JIBB,Jibb - Stay - Strapping,Fiocco - Straglio - Stroppatura,,1,,4.5,1,36.38,001-ShipOf110-100Guns.jpg,Stay,,,2164,2290
