#file,rigging_db.csv
version,rev58
id,section,en,it,es,vanguard,victory,agamemnon,bounty,diana
#end
#file,ships.csv
id,ship,manufacturer,scale,date,tonnage,unit,data_quality,tonnage_source,steel_class
1,Achilles Pilot Cutter,Mantua / Sergal,1:43,1809 (kit: 1815),92,bm,identificazione probabile,https://en.wikipedia.org/wiki/HMS_Express_(1815),Cutter 200 t
2,Al Bahran Arabian Dhow,Corel,1:50,XX secolo (tipo),65,t,dedotto da range documentato,https://www.modelerscentral.com/it/al-bahran-dhow-arabo/,16/14 guns
3,Alert American Privateer,Mamoli,1:45,1818,75,tons,documentato,https://lcps-stamps.org/wp-content/uploads/2019/05/TheSailingNavy1775-1854Silverstone-2006.pdf,16/14 guns
4,America,BlueJacket,1:48,1851,170,tons register,documentato,https://catalogs.marinersmuseum.org/object/CL14128,16/14 guns
5,America,BlueJacket,1:96,1851,170,tons register,documentato,https://catalogs.marinersmuseum.org/object/CL14128,16/14 guns
6,America Schooner,Mamoli,1:66,1851,170,tons,documentato,https://it.wikipedia.org/wiki/America_(scuna),16/14 guns
7,Amphion,Corel,1:40,1778,249,bm equivalente,dedotto da dimensioni storiche,https://www.sjohistoriska.se/en/visit/exhibitions/amphion/amphion-an-icon,16/14 guns
8,Armed Virginia Sloop,Model Shipways,1:48,1768,60,tons displacement,ricostruzione documentata,https://www.sdshipmodelersguild.org/documents/newsletters/SDSMG200610rc.pdf,Sloop 130 t
9,Astrolabe,Mantua,1:50,1811,380,tonneaux,documentato,https://www.academieoutremer.fr/2026/06/08/nouvelle-acquisition-la-maquette-de-lastrolabe-de-dumont-durville/,22/20 guns
10,Atakebune,Woody Joe,1:100,c. 1593 (tipo),500,t equivalente,tipologico / dedotto,https://zootoyz.jp/contents/en-us/p79915_ATAKE-BUNE-Japanese-Sengoku-era-Warship-Model-Kit-by-Woody-JOE.html,24 guns
11,Baltimore Privateer Schooner Grecian,Vanguard Models,1:64,1812,228,tons/t,documentato,,16/14 guns
12,Belle Poule,Dusek Ship Kits,1:50,1766,620,port tonneaux,documentato,https://en.wikipedia.org/wiki/French_frigate_Belle_Poule_(1766),28 guns
13,Belle Poule,Sail & Sail Model,1:72,1766,620,port tonneaux,documentato,https://en.wikipedia.org/wiki/French_frigate_Belle_Poule_(1766),28 guns
14,Benjamin W. Latham,Model Shipways,1:48,1902,72,gross tons,documentato,https://device.report/m/9413d66c37fae6a51ac52a55468d777b28771d264907875266b5df2b2ceb3674.pdf,16/14 guns
15,Berlin,Corel,1:40,1674,172,bm equivalente,dedotto da dimensioni storiche,https://www.modellmarine.de/index.php/bausatzvorstellungen/230-cor/2830-fregatte-berlin-von-corel-im-massstab-140,16/14 guns
16,Black Prince,Mamoli,1:57,1779 (kit: 1775),120,tons,identificazione probabile,https://founders.archives.gov/documents/Franklin/01-29-02-0556,16/14 guns
17,Blue Shadow,Mamoli,1:64,1778,300,t equivalente,ricostruzione commerciale / dedotto,https://www.cornwallmodelboats.co.uk/acatalog/mamoli_blue_shadow.html,16/14 guns
18,Bluenose,Model Shipways,1:64,1921,285,GT,documentato,,16/14 guns
19,Boeier,Corel,1:25,1714,100,t equivalente,nave identificata / tonnellaggio dedotto,https://www.cornwallmodelboats.co.uk/acatalog/Corel-Boeier-1714-Dutch-Yacht-1-25-SM63.html,16/14 guns
20,Bowdoin,BlueJacket,1:48,1921,88,GT,documentato,,16/14 guns
21,Brigantine Phoenix,Master Korabel,N/D,1787,200,t displacement equivalente,dedotto da dimensioni storiche,https://ru.ruwiki.ru/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%BF%D0%B0%D1%80%D1%83%D1%81%D0%BD%D1%8B%D1%85_%D0%BA%D1%80%D0%B5%D0%B9%D1%81%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D1%85_%D1%81%D1%83%D0%B4%D0%BE%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%B8%D0%BC%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%84%D0%BB%D0%BE%D1%82%D0%B0,Brig 160 t
