id,steel_class,section,en,it,es,page,n,circumference_in,length_fathom,real_diameter_mm,source_table,rigging_key,bounty_application,note,tonnage_min,tonnage_max,lay
1,110-100 guns,BOWSPRIT,Bowspirit - Woolding,Bompresso - Cerchiatura di rinforzo,Bauprés - Reata,1,,3.5,190,28.3,001-ShipOf110-100Guns.jpg,Woolding,,,2164,2290,RH
2,110-100 guns,BOWSPRIT,Bowspirit - Gammonings,Bompresso - Trinche,Bauprés - Trincas del bauprés,1,2,8,160,64.68,001-ShipOf110-100Guns.jpg,Gammonings,,,2164,2290,RH
3,110-100 guns,BOWSPRIT,Bowspirit - Shrouds fine,Bompresso - Sartie di filato fine,Bauprés - Obenques finos,1,2,8,39,64.68,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
4,110-100 guns,BOWSPRIT,Bowspirit - Shrouds - Collars fine,Bompresso - Sartie - Collari di filato fine,Bauprés - Obenques - Collares finos,1,4,6.5,12,52.55,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
5,110-100 guns,BOWSPRIT,Bowspirit - Shrouds - Seizings,Bompresso - Sartie - Legature,Bauprés - Obenques - Ligadas,1,4,1,16,8.09,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
6,110-100 guns,BOWSPRIT,Bowspirit - Shrouds - Lashings,Bompresso - Sartie - Legature di fissaggio,Bauprés - Obenques - Trincas,1,4,2,12,16.17,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
7,110-100 guns,BOWSPRIT,Bowspirit - Shrouds - Lanyards fine,Bompresso - Sartie - Corridori di filato fine,Bauprés - Obenques - Acolladores finos,1,4,3.5,20,28.3,001-ShipOf110-100Guns.jpg,Shrouds,,,2164,2290,RH
8,110-100 guns,BOWSPRIT,Bowspirit - Bobstays cabled fine,"Bompresso - Mustacci commessi a cavo, di filato fine",Bauprés - Barbiquejos colchados finos,1,3,8,38,64.68,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290,LH
9,110-100 guns,BOWSPRIT,Bowspirit - Bobstays - Collars fine,Bompresso - Mustacci - Collari di filato fine,Bauprés - Barbiquejos - Collares finos,1,3,8.5,9,68.72,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290,RH
10,110-100 guns,BOWSPRIT,Bowspirit - Bobstays - Seizings,Bompresso - Mustacci - Legature,Bauprés - Barbiquejos - Ligadas,1,3,1.5,30,12.13,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290,RH
11,110-100 guns,BOWSPRIT,Bowspirit - Bobstays - Lashings,Bompresso - Mustacci - Legature di fissaggio,Bauprés - Barbiquejos - Trincas,1,3,2,9,16.17,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290,RH
12,110-100 guns,BOWSPRIT,Bowspirit - Bobstays - Lanyards fine,Bompresso - Mustacci - Corridori di filato fine,Bauprés - Barbiquejos - Acolladores finos,1,3,4,18,32.34,001-ShipOf110-100Guns.jpg,Bobstays,,,2164,2290,RH
13,110-100 guns,BOWSPRIT,Bowspirit - Horses,Bompresso - Marciapiedi,Bauprés - Marchapiés,1,2,5,22,40.43,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
14,110-100 guns,BOWSPRIT,Bowspirit - Horses - Straps,Bompresso - Marciapiedi - Stroppi,Bauprés - Marchapiés - Estrobos,1,2,3.5,3.5,28.3,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
15,110-100 guns,BOWSPRIT,Bowspirit - Horses - Lanyards,Bompresso - Marciapiedi - Corridori,Bauprés - Marchapiés - Acolladores,1,2,2,8,16.17,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
16,110-100 guns,SPRITSAIL,Spritsail - Horses,Civada - Marciapiedi,Cebadera - Marchapiés,1,2,4,13,32.34,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
17,110-100 guns,SPRITSAIL,Spritsail - Horses - Stirrups,Civada - Marciapiedi - Gambetti dei marciapiedi,Cebadera - Marchapiés - Estribos,1,6,3,6,24.26,001-ShipOf110-100Guns.jpg,Horses,,,2164,2290,RH
18,110-100 guns,SPRITSAIL,Spritsail - Braces,Civada - Bracci,Cebadera - Brazas,1,2,3.5,75,28.3,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290,RH
19,110-100 guns,SPRITSAIL,Spritsail - Braces - Pendants,Civada - Bracci - Pendenti,Cebadera - Brazas - Pendientes,1,2,4,5,32.34,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290,RH
20,110-100 guns,SPRITSAIL,Spritsail - Braces - Strapping,Civada - Bracci - Stroppatura,Cebadera - Brazas - Estrobado,1,,3.5,10,28.3,001-ShipOf110-100Guns.jpg,Braces,,,2164,2290,RH
21,110-100 guns,SPRITSAIL,Spritsail - Lifts,Civada - Amantigli,Cebadera - Amantillos,1,2,3.5,58,28.3,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290,RH
22,110-100 guns,SPRITSAIL,Spritsail - Lifts - Beckets,Civada - Amantigli - Gasse / cerchietti di cima,Cebadera - Amantillos - Gazas,1,2,3.5,4,28.3,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290,RH
23,110-100 guns,SPRITSAIL,Spritsail - Lifts - Strapping,Civada - Amantigli - Stroppatura,Cebadera - Amantillos - Estrobado,1,,3.5,4,28.3,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290,RH
24,110-100 guns,SPRITSAIL,Spritsail - Lifts - Seizing,Civada - Amantigli - Legatura,Cebadera - Amantillos - Ligada,1,,1.5,9,12.13,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290,RH
25,110-100 guns,SPRITSAIL,Spritsail - Lifts - Standing,Civada - Amantigli - Fisso,Cebadera - Amantillos - Firme,1,2,4.5,10,36.38,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290,RH
26,110-100 guns,SPRITSAIL,Spritsail - Lifts - Straps,Civada - Amantigli - Stroppi,Cebadera - Amantillos - Estrobos,1,2,4.5,4,36.38,001-ShipOf110-100Guns.jpg,Lifts,,,2164,2290,RH
