id,ship,manufacturer,scale,date,tonnage,unit,data_quality,tonnage_source,steel_class
1,Achilles Pilot Cutter,Mantua / Sergal,1:43,1809 (kit: 1815),92,bm,identificazione probabile,https://en.wikipedia.org/wiki/HMS_Express_(1815),Cutter 200 t
2,Al Bahran Arabian Dhow,Corel,1:50,XX secolo (tipo),65,t,dedotto da range documentato,https://www.modelerscentral.com/it/al-bahran-dhow-arabo/,16/14 guns
3,Alert American Privateer,Mamoli,1:45,1818,75,tons,documentato,https://lcps-stamps.org/wp-content/uploads/2019/05/TheSailingNavy1775-1854Silverstone-2006.pdf,16/14 guns
4,America,BlueJacket,1:48,1851,170,tons register,documentato,https://catalogs.marinersmuseum.org/object/CL14128,16/14 guns
5,America,BlueJacket,1:96,1851,170,tons register,documentato,https://catalogs.marinersmuseum.org/object/CL14128,16/14 guns
6,America Schooner,Mamoli,1:66,1851,170,tons,documentato,https://it.wikipedia.org/wiki/America_(scuna),16/14 guns
7,Amphion,Corel,1:40,1778,249,bm equivalente,dedotto da dimensioni storiche,https://www.sjohistoriska.se/en/visit/exhibitions/amphion/amphion-an-icon,16/14 guns
8,Armed Virginia Sloop,Model Shipways,1:48,1768,60,tons displacement,ricostruzione documentata,https://www.sdshipmodelersguild.org/documents/newsletters/SDSMG200610rc.pdf,Sloop 130 t
9,Astrolabe,Mantua,1:50,1811,380,tonneaux,documentato,https://www.academieoutremer.fr/2026/06/08/nouvelle-acquisition-la-maquette-de-lastrolabe-de-dumont-durville/,22/20 guns
10,Atakebune,Woody Joe,1:100,c. 1593 (tipo),500,t equivalente,tipologico / dedotto,https://zootoyz.jp/contents/en-us/p79915_ATAKE-BUNE-Japanese-Sengoku-era-Warship-Model-Kit-by-Woody-JOE.html,24 guns
11,Baltimore Privateer Schooner Grecian,Vanguard Models,1:64,1812,228,tons/t,documentato,,16/14 guns
12,Belle Poule,Dusek Ship Kits,1:50,1766,620,port tonneaux,documentato,https://en.wikipedia.org/wiki/French_frigate_Belle_Poule_(1766),28 guns
13,Belle Poule,Sail & Sail Model,1:72,1766,620,port tonneaux,documentato,https://en.wikipedia.org/wiki/French_frigate_Belle_Poule_(1766),28 guns
14,Benjamin W. Latham,Model Shipways,1:48,1902,72,gross tons,documentato,https://device.report/m/9413d66c37fae6a51ac52a55468d777b28771d264907875266b5df2b2ceb3674.pdf,16/14 guns
15,Berlin,Corel,1:40,1674,172,bm equivalente,dedotto da dimensioni storiche,https://www.modellmarine.de/index.php/bausatzvorstellungen/230-cor/2830-fregatte-berlin-von-corel-im-massstab-140,16/14 guns
